artist_name,artist_id,image_artist
Natanael Cano,0elWFr7TW8piilVRYJUe4P,https://i.scdn.co/image/ab6761610000e5eb7e2078873c8ccd9f968de1cf
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696
Junior H,7Gi6gjaWy3DxyilpF1a8Is,https://i.scdn.co/image/ab6761610000e5eb50998d90507d8c1603b2530b
Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,https://i.scdn.co/image/ab6761610000e5eb505626c3e5b3feebe828f206
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,https://i.scdn.co/image/ab6761610000e5eb7e2545f678354fc859de15f1
Tito Double P,5eumcnUkdmGvkvcsx1WFNG,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
Chino Pacas,2rmkQLzj0k4nZdQehOUByO,https://i.scdn.co/image/ab6761610000e5eb52f3df55b54da325acb93e84
